entity,type,omega,alpha1,beta1,persistence,cond_vol_pre_mean,cond_vol_post_mean,loglik,aic
INDIGRID,InvIT,0.3315617964949718,0.999999999999957,3.3362414680542355e-14,0.9999999999999905,0.7948650760096171,0.8040880262424243,-96.09652622005346,202.19305244010692
PGINVIT,InvIT,0.010589069660053902,4.373778472989756e-12,0.9777723977485189,0.9777723977528926,0.9106498666589099,0.7523907568755731,-125.80543980901369,261.6108796180274
IRBINVIT,InvIT,0.14075565917057345,0.6663082866367585,0.3336917133632416,1.0,1.1018784672310604,0.867322873021478,-146.87233162476338,303.74466324952675
EMBASSY,REIT,0.0060524913542847865,0.0,1.0,1.0,0.9653384968096782,1.1411831262521597,-177.22708512427886,364.4541702485577
MINDSPACE,REIT,0.19933099954204272,0.0625500915499737,0.7468544438713157,0.8094045354212894,1.0467350197054268,1.0066065898384204,-179.86247073727466,369.7249414745493
BIRET,REIT,0.009049234975687331,0.0,1.0,1.0,0.7413791367217276,1.0592252762445853,-141.02769154147515,292.0553830829503
