date,open,high,low,close,volume,ret,abs_ret,rupee_vol,amihud,log_amihud,cs_spread,hl_spread,zero_ret,turnover,log_rupee_vol,entity,type,invit,post,date_str
2024-01-02,131.43,132.49,130.65,131.66,20569.0,0.0068828387886203934,0.0068828387886203934,2708114.54,2.5415611810202066,1.2645676415162834,0.0,0.01398495097666644,0,20569.0,14.811763209017894,INDIGRID,InvIT,1,0,20240102
2024-01-03,132.1,132.22,131.75,132.1,25153.0,0.0033419413641195828,0.0033419413641195828,3322711.3,1.0057874616189444,0.6960367325899862,0.0010773354136139226,0.0035610107209152466,0,25153.0,15.016291664236594,INDIGRID,InvIT,1,0,20240103
2024-01-04,132.8,132.8,130.65,132.08,40617.0,-0.00015140045420125592,0.00015140045420125592,5364693.36,0.028221641768031252,0.027830748626306936,0.0009269050455287886,0.016321882710191728,0,40617.0,15.495349776775093,INDIGRID,InvIT,1,0,20240104
2024-01-05,132.8,132.8,131.05,132.44,19420.0,0.0027256208358570344,0.0027256208358570344,2571984.8,1.0597344260576635,0.7225770551011872,0.011372472095024032,0.013265112753458404,0,19420.0,14.76018845452436,INDIGRID,InvIT,1,0,20240105
2024-01-08,132.45,133.9,131.05,133.2,28862.0,0.005738447598912622,0.005738447598912622,3844418.3999999994,1.4926698922553858,0.9133543819172879,0.009079437552651953,0.02151349311190786,0,28862.0,15.162132888102311,INDIGRID,InvIT,1,0,20240108
2024-01-09,133.2,134.24,133.0,134.2,43951.0,0.007507507507507505,0.007507507507507505,5898224.199999999,1.2728420034469876,0.8210310323123559,0.0,0.009280047897021472,0,43951.0,15.590161880520611,INDIGRID,InvIT,1,0,20240109
2024-01-10,133.06,135.0,133.06,135.0,46866.0,0.005961251862891315,0.005961251862891315,6326910.0,0.9422058892715898,0.6638243834418696,0.0054763817432066965,0.014474371409385942,0,46866.0,15.66032252327678,INDIGRID,InvIT,1,0,20240110
2024-01-11,135.1,137.44,134.95,136.72,43351.0,0.01274074074074072,0.01274074074074072,5926948.72,2.1496289815614804,1.147284662269229,0.0,0.01828260949374066,0,43351.0,15.595020088800709,INDIGRID,InvIT,1,0,20240111
2024-01-12,137.1,137.1,136.1,136.1,11813.0,-0.004534815681685234,0.004534815681685234,1607749.3,2.8205987598223388,1.3404071537445084,0.003406846045388542,0.007320644216691069,0,11813.0,14.29034580860594,INDIGRID,InvIT,1,0,20240112
2024-01-15,137.45,137.45,135.21,136.3,65771.0,0.0014695077149156077,0.0014695077149156077,8964587.3,0.16392363259328266,0.15179673941923463,0.003759036783795227,0.01643071957749564,0,65771.0,16.008792629382828,INDIGRID,InvIT,1,0,20240115
2024-01-16,136.9,137.58,136.4,137.56,17005.0,0.009244314013206134,0.009244314013206134,2339207.8,3.951899447841331,1.5997712298129176,0.0028381726314072823,0.008613767428279486,0,17005.0,14.665322883005361,INDIGRID,InvIT,1,0,20240116
2024-01-17,137.99,137.99,136.05,137.0,12471.0,-0.004070950857807509,0.004070950857807509,1708527.0,2.3827255043716074,1.2186817467996822,0.005828772623021541,0.014158517004816797,0,12471.0,14.351142153748873,INDIGRID,InvIT,1,0,20240117
2024-01-18,137.0,137.9,136.4,137.9,31281.0,0.006569343065693456,0.006569343065693456,4313649.9,1.5229198516303921,0.9254169020637264,0.009010463495362107,0.010936930368209988,0,31281.0,15.277294948256959,INDIGRID,InvIT,1,0,20240118
2024-01-19,137.8,137.9,136.01,136.49,28214.0,-0.010224800580130533,0.010224800580130533,3850928.8600000003,2.6551517703524996,1.2961376163758944,0.009194242881278005,0.013800153335037165,0,28214.0,15.163824939502552,INDIGRID,InvIT,1,0,20240119
2024-01-20,136.5,137.0,136.02,136.2,7425.0,-0.0021246977800573053,0.0021246977800573053,1011284.9999999999,2.1009881290213,1.131720811997892,0.0042383814387721664,0.007178961248260126,0,7425.0,13.826732357386312,INDIGRID,InvIT,1,0,20240120
2024-01-23,137.2,137.2,133.01,136.07,53980.0,-0.0009544787077826467,0.0009544787077826467,7345058.6,0.12994841290750855,0.12217197938791129,0.0019796646414838854,0.031012915880241278,0,53980.0,15.809538345774763,INDIGRID,InvIT,1,0,20240123
2024-01-24,136.9,136.9,135.01,136.0,96860.0,-0.0005144410964944557,0.0005144410964944557,13172960.0,0.03905280942889493,0.038309537994726056,0.007177640222883653,0.013901658637049135,0,96860.0,16.39367680169327,INDIGRID,InvIT,1,0,20240124
2024-01-25,136.0,137.0,135.5,136.0,86938.0,0.0,0.0,11823568.0,0.0,0.0,0.007486762486976556,0.011009174311926606,1,86938.0,16.2856053856434,INDIGRID,InvIT,1,0,20240125
2024-01-29,137.0,138.44,135.51,137.07,58719.0,0.00786764705882348,0.00786764705882348,8048613.329999999,0.9775158448099383,0.6818414331736845,0.006259960429154236,0.021390764738090942,0,58719.0,15.901010377413924,INDIGRID,InvIT,1,0,20240129
2024-01-30,135.62,137.8,135.62,137.42,87954.0,0.0025534398482527365,0.0025534398482527365,12086638.68,0.21126137016720486,0.19166227131372732,0.012770287058108074,0.01594616341160125,0,87954.0,16.307611159121016,INDIGRID,InvIT,1,0,20240130
2024-01-31,136.5,136.5,132.9,135.22,66779.0,-0.01600931451026044,0.01600931451026044,9029856.38,1.7729312445897885,1.0199049717318716,0.0,0.026726057906458756,0,66779.0,16.016047020504782,INDIGRID,InvIT,1,0,20240131
