entity,n_pre,n_post,amihud_pre_mean,amihud_post_mean,amihud_pre_median,amihud_post_median,hl_spread_pre_mean,hl_spread_post_mean,hl_spread_pre_median,hl_spread_post_median,rupee_vol_pre_mean,rupee_vol_post_mean,rupee_vol_pre_median,rupee_vol_post_median,volume_pre_mean,volume_post_mean,volume_pre_median,volume_post_median,abs_ret_pre_mean,abs_ret_post_mean,abs_ret_pre_median,abs_ret_post_median,zero_ret_pre_pct,zero_ret_post_pct,roll_pre,roll_post
INDIGRID,64,62,0.7154722807301146,0.06404897441431683,0.28022918768296445,0.03089645659516145,0.013117194329275546,0.011706860844944458,0.011283205765865004,0.007662680747063295,54775509.05078125,198333722.06741938,7736663.42,78932671.35,342776.15625,1175042.6451612904,50491.0,469617.5,0.004441278400506396,0.004593091610389202,0.0024292015598030847,0.0027934656565109517,1.5625,0.0,1.4557239090632244,1.2888247175401166
PGINVIT,64,59,0.06516159287362368,0.06203851444624298,0.03463140837743851,0.05095582787182031,0.013043135793742616,0.00973103102686712,0.01097697339651111,0.009331259720062266,97455024.44624999,82603782.8498305,80944283.23,73261900.8,1084769.875,865459.7118644068,871906.5,767440.0,0.005757462075175676,0.005003586913189292,0.003395027926842653,0.0038318370921830436,0.0,0.0,,
IRBINVIT,64,62,0.2710933568165925,0.10545319361783666,0.135830426315778,0.08476274281652596,0.019541978419558452,0.013113614849484754,0.016433254679442927,0.01113078812695113,42274759.466562495,173211070.41499996,22893112.695,49992248.760000005,688164.59375,2830929.564516129,374106.0,792934.0,0.007781313637510664,0.005912740629607648,0.0044451500238134045,0.003633780176249435,3.125,4.838709677419355,,0.19680498822395243
EMBASSY,64,59,0.03452318380182108,0.05142849158345981,0.023713554222626713,0.02682474373741835,0.015978688082309837,0.019382917070411985,0.014145239048439765,0.01856563943077937,258686604.46640626,410345267.83118653,221236019.15,235790742.55999997,661688.625,972828.7118644068,563238.0,548297.0,0.007086232725521674,0.009490030967706677,0.005123499273533616,0.008299633217342395,0.0,0.0,3.687568866604998,1.967971806856309
MINDSPACE,64,62,3.947675744013599,1.9861261031483608,2.5756327986667293,1.63074838677385,0.018451484438843507,0.01889559791067408,0.016907581972863316,0.016838575662222115,2954103.81640625,10987058.000161292,2180585.94,3453948.25,7130.609375,23847.59677419355,5359.5,7438.0,0.00848800043824942,0.00777268975079111,0.006811632171862758,0.006567791345018559,1.5625,0.0,4.9869615297076155,
BIRET,64,62,2.327457544199016,1.9995780794439328,1.7010189536939393,1.4666659773945363,0.016847240110619506,0.019600307742679863,0.01583937414859086,0.017156918743187796,2856711.3668750003,3436099.0854838705,2384371.9050000003,2651571.3,9132.15625,10256.774193548386,7820.0,7869.0,0.004755356134875267,0.006976907202262022,0.004041041831096992,0.003972518148419868,0.0,0.0,2.406560924612351,1.1616846329536354
