date,open,high,low,close,volume,ret,abs_ret,rupee_vol,amihud,hl_spread,zero_ret,log_rupee_vol,entity,type,exchange,period
2025-06-03,148.0,149.32,148.0,149.04,30912.0,,,4607124.4799999995,,0.008879321942687967,0,15.343114463305577,INDIGRID,InvIT,NSE,pre
2025-06-04,149.32,151.0,149.32,150.22,31883.0,0.00791733762748259,0.00791733762748259,4789464.26,1.6530737463907061,0.011188066062866322,0,15.381929117620441,INDIGRID,InvIT,NSE,pre
2025-06-05,151.0,151.01,149.1,150.92,17600.0,0.004659832246039164,0.004659832246039164,2656192.0,1.7543280930140457,0.012728666155742871,0,14.792404076122352,INDIGRID,InvIT,NSE,pre
2025-06-06,150.92,152.0,150.55,151.88,49978.0,0.00636098595282264,0.00636098595282264,7590658.64,0.8380018460193384,0.00958519253016023,0,15.84242892294548,INDIGRID,InvIT,NSE,pre
2025-06-09,151.9,154.15,151.15,152.94,59354.0,0.006979194100605657,0.006979194100605657,9077600.76,0.768836863960699,0.01965280052407468,0,16.021320482181483,INDIGRID,InvIT,NSE,pre
2025-06-10,154.0,154.0,153.1,153.51,19982.0,0.003726951745782525,0.003726951745782525,3067436.82,1.215005219172705,0.005861282969716742,0,14.936352858778074,INDIGRID,InvIT,NSE,pre
2025-06-11,154.5,154.5,152.0,153.37,30632.0,-0.0009119927040582843,0.0009119927040582843,4698029.84,0.19412237365829169,0.01631321370309951,0,15.362653795819819,INDIGRID,InvIT,NSE,pre
2025-06-12,153.03,154.0,149.31,153.5,81915.0,0.0008476233944056943,0.0008476233944056943,12573952.5,0.06741105427316466,0.030925455804292623,0,16.347137970281615,INDIGRID,InvIT,NSE,pre
2025-06-13,153.5,155.0,152.9,153.74,26289.0,0.0015635179153095091,0.0015635179153095091,4041670.8600000003,0.38684939211242675,0.013640792465086031,0,15.212168743644947,INDIGRID,InvIT,NSE,pre
2025-06-16,153.5,154.41,152.05,153.6,13498.0,-0.0009106283335502674,0.0009106283335502674,2073292.7999999998,0.43921839382757105,0.015401683743392187,0,14.544648626016924,INDIGRID,InvIT,NSE,pre
2025-06-17,154.7,154.76,153.07,153.4,15152.0,-0.0013020833333332593,0.0013020833333332593,2324316.8000000003,0.560200456896951,0.010980086411330916,0,14.658936704359016,INDIGRID,InvIT,NSE,pre
