outcome,boot_mean,boot_se,ci_low_2.5,ci_high_97.5,p_two_sided,n_boot
log_amihud,-0.20258643504104468,0.19578491899126096,-0.6359024896401422,0.10525960545131173,0.316,2000
amihud,-0.4378155305268758,0.8031571217307414,-2.1146462501731467,0.9024149955296585,0.606,2000
