window_trading_days_approx,did_coef,p_value,n_obs
20,0.08503064732741594,0.24475792575382516,246
40,-0.07373550064831168,0.42778697086463857,522
60,-0.1515012303227175,0.15008680144064646,780
90,-0.15470260479426254,0.24305547876908284,1062
120,-0.16330552458244302,0.3183365032196942,1246
