date,open,high,low,close,volume
2024-01-01,234.79,240.0,234.43,239.51,5363.0
2024-01-02,241.0,252.0,234.1,241.43,13327.0
2024-01-03,242.24,244.19,241.0,243.0,15338.0
2024-01-04,242.99,244.43,238.5,242.0,23481.0
2024-01-05,245.0,246.0,241.9,245.0,11125.0
2024-01-08,245.66,254.7,244.1,245.44,20617.0
2024-01-09,246.85,246.85,244.46,244.6,8695.0
2024-01-10,246.2,246.7,245.0,245.98,12254.0
2024-01-11,249.96,250.95,246.59,250.2,12743.0
2024-01-12,252.0,253.55,244.0,251.95,19152.0
2024-01-15,247.5,253.84,247.5,250.39,28230.0
2024-01-16,251.0,253.34,251.0,252.08,7585.0
2024-01-17,252.08,254.79,249.49,254.69,10992.0
2024-01-18,253.7,254.8,250.1,251.53,19217.0
2024-01-19,251.0,253.67,249.99,251.19,6812.0
2024-01-20,252.2,252.3,245.81,250.0,30826.0
2024-01-23,252.0,252.0,241.9,245.08,172503.0
2024-01-24,248.35,251.5,244.79,250.1,9415.0
2024-01-25,248.05,251.59,246.79,250.0,9580.0
2024-01-29,252.7,252.7,245.05,247.0,15938.0
2024-01-30,246.92,250.48,246.36,247.05,2737.0
2024-01-31,247.11,254.05,247.1,253.47,9381.0
2024-02-01,254.99,254.99,250.24,250.77,6187.0
2024-02-02,253.8,253.8,249.57,250.56,2761.0
2024-02-05,251.17,256.42,246.95,247.84,17102.0
2024-02-06,245.2,253.0,245.2,252.2,8579.0
2024-02-07,255.0,255.0,252.28,253.0,5989.0
2024-02-08,251.0,253.69,251.0,252.3,10819.0
2024-02-09,250.05,254.37,250.05,253.24,12370.0
2024-02-12,252.9,254.05,250.0,252.68,43376.0
2024-02-13,254.99,254.99,251.0,253.25,26373.0
2024-02-14,255.99,255.99,250.55,254.95,13029.0
2024-02-15,254.92,257.9,253.3,255.0,8722.0
2024-02-16,255.13,256.54,253.14,256.5,15043.0
2024-02-19,258.0,258.0,255.62,256.0,16648.0
2024-02-20,251.2,254.46,251.2,253.39,33814.0
2024-02-21,251.9,254.0,251.0,251.85,45414.0
2024-02-22,251.9,252.9,251.71,252.63,1597.0
2024-02-23,251.5,254.0,251.5,252.14,31722.0
2024-02-26,252.9,255.0,251.83,253.61,27226.0
2024-02-27,251.25,254.0,251.25,252.35,7517.0
2024-02-28,253.9,255.06,252.0,253.45,12851.0
2024-02-29,253.9,254.68,252.0,253.25,10363.0
2024-03-01,253.25,253.75,252.06,252.82,2417.0
2024-03-02,254.0,254.0,252.8,253.31,1240.0
2024-03-04,255.9,255.9,253.85,254.0,11410.0
2024-03-05,251.1,254.81,251.1,253.4,5868.0
2024-03-06,254.1,255.74,252.0,252.65,3690.0
2024-03-07,254.5,254.5,251.5,252.11,10776.0
2024-03-11,253.0,254.05,251.96,252.0,10990.0
2024-03-12,251.96,253.0,249.47,250.52,8898.0
2024-03-13,250.0,252.17,243.0,244.32,11266.0
2024-03-14,247.92,247.92,242.74,243.95,23464.0
